
---------- Begin Simulation Statistics ----------
sim_seconds                                  3.803996                       # Number of seconds simulated
sim_ticks                                3803996475500                       # Number of ticks simulated
final_tick                               9043584233500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
host_inst_rate                                 552318                       # Simulator instruction rate (inst/s)
host_op_rate                                  1003939                       # Simulator op (including micro ops) rate (op/s)
host_tick_rate                              953599539                       # Simulator tick rate (ticks/s)
host_mem_usage                                1639668                       # Number of bytes of host memory used
host_seconds                                  3989.09                       # Real time elapsed on the host
sim_insts                                  2203246581                       # Number of instructions simulated
sim_ops                                    4004807155                       # Number of ops (including micro ops) simulated
system.voltage_domain.voltage                       1                       # Voltage in Volts
system.clk_domain.clock                          1000                       # Clock period in ticks
system.mem_ctrls.pwrStateResidencyTicks::UNDEFINED 9043584233500                       # Cumulative time (in ticks) in various power states
system.mem_ctrls.bytes_read::cpu0.dtb.walker       267968                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu0.itb.walker        22336                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu0.inst        1346112                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu0.data       94284800                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::total           95921216                       # Number of bytes read from this memory
system.mem_ctrls.bytes_inst_read::cpu0.inst      1346112                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::total       1346112                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_written::writebacks     64689024                       # Number of bytes written to this memory
system.mem_ctrls.bytes_written::total        64689024                       # Number of bytes written to this memory
system.mem_ctrls.num_reads::cpu0.dtb.walker         4187                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu0.itb.walker          349                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu0.inst           21033                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu0.data         1473200                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::total             1498769                       # Number of read requests responded to by this memory
system.mem_ctrls.num_writes::writebacks       1010766                       # Number of write requests responded to by this memory
system.mem_ctrls.num_writes::total            1010766                       # Number of write requests responded to by this memory
system.mem_ctrls.bw_read::cpu0.dtb.walker        70444                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::cpu0.itb.walker         5872                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::cpu0.inst            353868                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::cpu0.data          24785722                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::total              25215906                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_inst_read::cpu0.inst       353868                       # Instruction read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_inst_read::total           353868                       # Instruction read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_write::writebacks        17005543                       # Write bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_write::total             17005543                       # Write bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_total::writebacks        17005543                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::cpu0.dtb.walker        70444                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::cpu0.itb.walker         5872                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::cpu0.inst           353868                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::cpu0.data         24785722                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::total             42221448                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.readReqs                     1498769                       # Number of read requests accepted
system.mem_ctrls.writeReqs                    1010766                       # Number of write requests accepted
system.mem_ctrls.readBursts                   1498769                       # Number of DRAM read bursts, including those serviced by the write queue
system.mem_ctrls.writeBursts                  1010766                       # Number of DRAM write bursts, including those merged in the write queue
system.mem_ctrls.bytesReadDRAM               95861824                       # Total number of bytes read from DRAM
system.mem_ctrls.bytesReadWrQ                   59392                       # Total number of bytes read from write queue
system.mem_ctrls.bytesWritten                64688576                       # Total number of bytes written to DRAM
system.mem_ctrls.bytesReadSys                95921216                       # Total read bytes from the system interface side
system.mem_ctrls.bytesWrittenSys             64689024                       # Total written bytes from the system interface side
system.mem_ctrls.servicedByWrQ                    928                       # Number of DRAM read bursts serviced by the write queue
system.mem_ctrls.mergedWrBursts                     0                       # Number of DRAM write bursts merged with an existing one
system.mem_ctrls.neitherReadNorWriteReqs            0                       # Number of requests that are neither read nor write
system.mem_ctrls.perBankRdBursts::0             90159                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::1             93688                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::2             96381                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::3            103014                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::4             91307                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::5             90414                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::6            101320                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::7             93902                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::8             91184                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::9             95142                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::10            83595                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::11            88171                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::12            92841                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::13            93178                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::14           107527                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::15            86018                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::0             61320                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::1             63420                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::2             65959                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::3             68347                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::4             61433                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::5             61635                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::6             67174                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::7             62629                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::8             63156                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::9             63590                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::10            58346                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::11            60957                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::12            62080                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::13            62966                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::14            68703                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::15            59044                       # Per bank write bursts
system.mem_ctrls.numRdRetry                         0                       # Number of times read queue was full causing retry
system.mem_ctrls.numWrRetry                       126                       # Number of times write queue was full causing retry
