sim_seconds                             ,    0.367026                   ,   # Number of seconds simulated
sim_ticks                               ,367026203000                   ,   # Number of ticks simulated
sim_insts                               ,   440048491                   ,   # Number of instructions simulated
sim_ops                                 ,   478819584                   ,   # Number of ops (including micro ops) simulated
host_inst_rate                          ,     1350870                   ,   # Simulator instruction rate (inst/s)
system.cpu0.numCycles                   ,   734052406                   ,   # number of cpu cycles simulated
system.cpu1.numCycles                   ,   734052405                   ,   # number of cpu cycles simulated
system.cpu2.numCycles                   ,   734052405                   ,   # number of cpu cycles simulated
system.cpu3.numCycles                   ,   734052406                   ,   # number of cpu cycles simulated
system.cpu4.numCycles                   ,   734052360                   ,   # number of cpu cycles simulated
system.cpu5.numCycles                   ,   734052405                   ,   # number of cpu cycles simulated
system.cpu6.numCycles                   ,   734052359                   ,   # number of cpu cycles simulated
system.cpu7.numCycles                   ,   734052360                   ,   # number of cpu cycles simulated
system.cpu0.committedInsts              ,   298666227                   ,   # Number of instructions committed
system.cpu1.committedInsts              ,    31735184                   ,   # Number of instructions committed
system.cpu2.committedInsts              ,    31735420                   ,   # Number of instructions committed
system.cpu3.committedInsts              ,    31735508                   ,   # Number of instructions committed
system.cpu4.committedInsts              ,     5697580                   ,   # Number of instructions committed
system.cpu5.committedInsts              ,    29083803                   ,   # Number of instructions committed
system.cpu6.committedInsts              ,     5697451                   ,   # Number of instructions committed
system.cpu7.committedInsts              ,     5697318                   ,   # Number of instructions committed
system.cpu0.committedOps                ,   337436633                   ,   # Number of ops (including micro ops) committed
system.cpu1.committedOps                ,    31735279                   ,   # Number of ops (including micro ops) committed
system.cpu2.committedOps                ,    31735515                   ,   # Number of ops (including micro ops) committed
system.cpu3.committedOps                ,    31735603                   ,   # Number of ops (including micro ops) committed
system.cpu4.committedOps                ,     5697681                   ,   # Number of ops (including micro ops) committed
system.cpu5.committedOps                ,    29083914                   ,   # Number of ops (including micro ops) committed
system.cpu6.committedOps                ,     5697546                   ,   # Number of ops (including micro ops) committed
system.cpu7.committedOps                ,     5697413                   ,   # Number of ops (including micro ops) committed
system.cpu0.dcache.overall_hits::total  ,    57044018                   ,   # number of overall hits
system.cpu1.dcache.overall_hits::total  ,         956                   ,   # number of overall hits
